

***** Start Trial #0 *****

Environment #37 Trial #2: FAIL
Environment #38 Trial #2: SUCCESS
Environment #39 Trial #2: SUCCESS
Environment #40 Trial #2: SUCCESS
Environment #41 Trial #2: SUCCESS
Environment #42 Trial #2: FAIL
Environment #43 Trial #2: FAIL
Environment #44 Trial #2: SUCCESS
Environment #45 Trial #2: SUCCESS
Environment #46 Trial #2: SUCCESS
Environment #47 Trial #2: FAIL
Environment #48 Trial #2: SUCCESS
Environment #49 Trial #2: FAIL
Environment #50 Trial #2: FAIL
Environment #51 Trial #2: SUCCESS
Environment #52 Trial #2: SUCCESS
Environment #53 Trial #2: FAIL
Environment #54 Trial #2: FAIL
Environment #55 Trial #2: SUCCESS
Environment #56 Trial #2: SUCCESS
Environment #57 Trial #2: SUCCESS
Environment #58 Trial #2: SUCCESS
Environment #59 Trial #2: SUCCESS
Environment #60 Trial #2: SUCCESS
Environment #61 Trial #2: FAIL
Environment #62 Trial #2: SUCCESS
Environment #63 Trial #2: SUCCESS
Environment #64 Trial #2: SUCCESS
Environment #65 Trial #2: FAIL
Environment #66 Trial #2: FAIL
Environment #67 Trial #2: SUCCESS
Environment #68 Trial #2: SUCCESS
Environment #69 Trial #2: SUCCESS
Environment #70 Trial #2: SUCCESS
Environment #71 Trial #2: SUCCESS
Environment #72 Trial #2: FAIL
Environment #73 Trial #2: SUCCESS
Environment #74 Trial #2: FAIL
Environment #75 Trial #2: SUCCESS
Environment #76 Trial #2: SUCCESS
Environment #77 Trial #2: SUCCESS
Environment #78 Trial #2: SUCCESS
Environment #79 Trial #2: SUCCESS
Environment #80 Trial #2: SUCCESS
Environment #81 Trial #2: FAIL
Environment #82 Trial #2: SUCCESS
Environment #83 Trial #2: SUCCESS
Environment #84 Trial #2: SUCCESS
Environment #85 Trial #2: FAIL
Environment #86 Trial #2: SUCCESS
Environment #87 Trial #2: SUCCESS
Environment #88 Trial #2: SUCCESS
Environment #89 Trial #2: SUCCESS
Environment #90 Trial #2: SUCCESS
Environment #91 Trial #2: SUCCESS
Environment #92 Trial #2: SUCCESS
Environment #93 Trial #2: SUCCESS
Environment #94 Trial #2: SUCCESS
Environment #95 Trial #2: SUCCESS
Environment #96 Trial #2: SUCCESS
Environment #97 Trial #2: SUCCESS
Environment #98 Trial #2: SUCCESS
Environment #99 Trial #2: SUCCESS
Environment #100 Trial #2: SUCCESS
Environment #101 Trial #2: SUCCESS
Environment #102 Trial #2: SUCCESS
Environment #103 Trial #2: SUCCESS
Environment #104 Trial #2: SUCCESS
Environment #105 Trial #2: SUCCESS
Environment #106 Trial #2: SUCCESS
Environment #107 Trial #2: SUCCESS
Environment #108 Trial #2: FAIL
Environment #109 Trial #2: SUCCESS
Environment #110 Trial #2: SUCCESS
Environment #111 Trial #2: SUCCESS
Environment #112 Trial #2: SUCCESS
Environment #113 Trial #2: SUCCESS
Environment #114 Trial #2: SUCCESS
Environment #115 Trial #2: SUCCESS
Environment #116 Trial #2: SUCCESS
Environment #117 Trial #2: SUCCESS
Environment #118 Trial #2: SUCCESS
Environment #119 Trial #2: SUCCESS
Environment #120 Trial #2: FAIL
Environment #121 Trial #2: FAIL
Environment #122 Trial #2: FAIL
Environment #123 Trial #2: SUCCESS
Environment #124 Trial #2: FAIL
Environment #125 Trial #2: SUCCESS
Environment #126 Trial #2: FAIL
Environment #127 Trial #2: SUCCESS
Environment #128 Trial #2: SUCCESS
Environment #129 Trial #2: SUCCESS
Environment #130 Trial #2: SUCCESS
Environment #131 Trial #2: SUCCESS
Environment #132 Trial #2: SUCCESS
Environment #133 Trial #2: SUCCESS

-----
SUCCESS: 107
ADDITIONAL SUCCESS: 6
FAIL: 27
TOTAL: 134
ACCURACY: 0.8
-----


***** End Trial #2 *****



***** Start Trial #3 *****

Environment #0 Trial #3: SUCCESS
Environment #1 Trial #3: SUCCESS
Environment #2 Trial #3: SUCCESS
Environment #3 Trial #3: SUCCESS
Environment #4 Trial #3: SUCCESS
Environment #5 Trial #3: SUCCESS
Environment #6 Trial #3: SUCCESS
Environment #7 Trial #3: SUCCESS
Environment #8 Trial #3: SUCCESS
Environment #9 Trial #3: SUCCESS
Environment #10 Trial #3: SUCCESS
Environment #11 Trial #3: FAIL
Environment #12 Trial #3: SUCCESS
Environment #13 Trial #3: SUCCESS
Environment #14 Trial #3: SUCCESS
Environment #15 Trial #3: SUCCESS
Environment #16 Trial #3: SUCCESS
Environment #17 Trial #3: SUCCESS
Environment #18 Trial #3: SUCCESS
Environment #19 Trial #3: SUCCESS
Environment #20 Trial #3: SUCCESS
Environment #21 Trial #3: SUCCESS
Environment #22 Trial #3: SUCCESS
Environment #23 Trial #3: SUCCESS
Environment #24 Trial #3: SUCCESS
Environment #25 Trial #3: SUCCESS
Environment #26 Trial #3: SUCCESS
Environment #27 Trial #3: SUCCESS
Environment #28 Trial #3: SUCCESS
Environment #29 Trial #3: SUCCESS
Environment #30 Trial #3: SUCCESS
Environment #31 Trial #3: SUCCESS
Environment #32 Trial #3: FAIL
Environment #33 Trial #3: SUCCESS
Environment #34 Trial #3: SUCCESS
Environment #35 Trial #3: SUCCESS
Environment #36 Trial #3: SUCCESS
Environment #37 Trial #3: FAIL
Environment #38 Trial #3: SUCCESS
Environment #39 Trial #3: SUCCESS
Environment #40 Trial #3: SUCCESS
Environment #41 Trial #3: SUCCESS


***** Start Trial #3 *****

Environment #0 Trial #3: SUCCESS
Environment #1 Trial #3: SUCCESS
Environment #2 Trial #3: FAIL
Environment #3 Trial #3: SUCCESS
Environment #4 Trial #3: SUCCESS
Environment #5 Trial #3: SUCCESS
Environment #6 Trial #3: FAIL
Environment #7 Trial #3: SUCCESS
Environment #8 Trial #3: SUCCESS
Environment #9 Trial #3: SUCCESS
Environment #10 Trial #3: SUCCESS
Environment #11 Trial #3: SUCCESS
Environment #12 Trial #3: SUCCESS
Environment #13 Trial #3: SUCCESS
Environment #14 Trial #3: SUCCESS
Environment #15 Trial #3: SUCCESS
Environment #16 Trial #3: SUCCESS
Environment #17 Trial #3: SUCCESS
Environment #18 Trial #3: SUCCESS
Environment #19 Trial #3: SUCCESS
Environment #20 Trial #3: SUCCESS
Environment #21 Trial #3: SUCCESS
Environment #22 Trial #3: SUCCESS
Environment #23 Trial #3: SUCCESS
Environment #24 Trial #3: SUCCESS
Environment #25 Trial #3: SUCCESS
Environment #26 Trial #3: SUCCESS
Environment #27 Trial #3: SUCCESS
Environment #28 Trial #3: FAIL
Environment #29 Trial #3: SUCCESS
Environment #30 Trial #3: SUCCESS
Environment #31 Trial #3: SUCCESS
Environment #32 Trial #3: FAIL
Environment #33 Trial #3: SUCCESS
Environment #34 Trial #3: SUCCESS
Environment #35 Trial #3: SUCCESS
Environment #36 Trial #3: SUCCESS
Environment #37 Trial #3: SUCCESS
Environment #38 Trial #3: SUCCESS
Environment #39 Trial #3: SUCCESS
Environment #40 Trial #3: SUCCESS
Environment #41 Trial #3: SUCCESS
Environment #42 Trial #3: FAIL
Environment #43 Trial #3: FAIL
Environment #44 Trial #3: SUCCESS
Environment #45 Trial #3: SUCCESS
Environment #46 Trial #3: SUCCESS
Environment #47 Trial #3: SUCCESS
Environment #48 Trial #3: SUCCESS
Environment #49 Trial #3: FAIL
Environment #50 Trial #3: FAIL
Environment #51 Trial #3: SUCCESS
Environment #52 Trial #3: SUCCESS
Environment #53 Trial #3: FAIL
Environment #54 Trial #3: FAIL
Environment #55 Trial #3: SUCCESS
Environment #56 Trial #3: SUCCESS
Environment #57 Trial #3: SUCCESS
Environment #58 Trial #3: SUCCESS
Environment #59 Trial #3: SUCCESS
Environment #60 Trial #3: SUCCESS
Environment #61 Trial #3: FAIL
Environment #62 Trial #3: SUCCESS
Environment #63 Trial #3: SUCCESS
Environment #64 Trial #3: SUCCESS
Environment #65 Trial #3: FAIL
Environment #66 Trial #3: FAIL
Environment #67 Trial #3: SUCCESS
Environment #68 Trial #3: SUCCESS
Environment #69 Trial #3: SUCCESS
Environment #70 Trial #3: SUCCESS
Environment #71 Trial #3: SUCCESS
Environment #72 Trial #3: FAIL
Environment #73 Trial #3: SUCCESS
Environment #74 Trial #3: FAIL
Environment #75 Trial #3: SUCCESS
Environment #76 Trial #3: SUCCESS
Environment #77 Trial #3: SUCCESS
Environment #78 Trial #3: SUCCESS
Environment #79 Trial #3: SUCCESS
Environment #80 Trial #3: SUCCESS
Environment #81 Trial #3: FAIL
Environment #82 Trial #3: SUCCESS
Environment #83 Trial #3: SUCCESS
Environment #84 Trial #3: SUCCESS
Environment #85 Trial #3: SUCCESS
Environment #86 Trial #3: SUCCESS
Environment #87 Trial #3: SUCCESS
Environment #88 Trial #3: SUCCESS
Environment #89 Trial #3: SUCCESS
Environment #90 Trial #3: SUCCESS
Environment #91 Trial #3: SUCCESS
Environment #92 Trial #3: SUCCESS
Environment #93 Trial #3: SUCCESS
Environment #94 Trial #3: SUCCESS
Environment #95 Trial #3: SUCCESS
Environment #96 Trial #3: SUCCESS
Environment #97 Trial #3: SUCCESS
Environment #98 Trial #3: SUCCESS
Environment #99 Trial #3: SUCCESS
Environment #100 Trial #3: SUCCESS
Environment #101 Trial #3: SUCCESS
Environment #102 Trial #3: SUCCESS
Environment #103 Trial #3: SUCCESS
Environment #104 Trial #3: SUCCESS
Environment #105 Trial #3: SUCCESS
Environment #106 Trial #3: SUCCESS
Environment #107 Trial #3: SUCCESS
Environment #108 Trial #3: FAIL
Environment #109 Trial #3: SUCCESS
Environment #110 Trial #3: SUCCESS
Environment #111 Trial #3: SUCCESS
Environment #112 Trial #3: SUCCESS
Environment #113 Trial #3: SUCCESS
Environment #114 Trial #3: SUCCESS
Environment #115 Trial #3: SUCCESS
Environment #116 Trial #3: SUCCESS
Environment #117 Trial #3: SUCCESS
Environment #118 Trial #3: SUCCESS
Environment #119 Trial #3: SUCCESS
Environment #120 Trial #3: FAIL
Environment #121 Trial #3: FAIL
Environment #122 Trial #3: FAIL
Environment #123 Trial #3: SUCCESS
Environment #124 Trial #3: FAIL
Environment #125 Trial #3: SUCCESS
Environment #126 Trial #3: FAIL
Environment #127 Trial #3: SUCCESS
Environment #128 Trial #3: SUCCESS
Environment #129 Trial #3: SUCCESS
Environment #130 Trial #3: SUCCESS
Environment #131 Trial #3: SUCCESS
Environment #132 Trial #3: SUCCESS
Environment #133 Trial #3: SUCCESS

-----
SUCCESS: 112
ADDITIONAL SUCCESS: 5
FAIL: 22
TOTAL: 134
ACCURACY: 0.84
-----


***** End Trial #3 *****



***** Start Trial #4 *****

Environment #0 Trial #4: SUCCESS
Environment #1 Trial #4: SUCCESS
Environment #2 Trial #4: SUCCESS
Environment #3 Trial #4: SUCCESS
Environment #4 Trial #4: SUCCESS
Environment #5 Trial #4: SUCCESS
Environment #6 Trial #4: FAIL
Environment #7 Trial #4: SUCCESS
Environment #8 Trial #4: SUCCESS
Environment #9 Trial #4: SUCCESS
Environment #10 Trial #4: SUCCESS
Environment #11 Trial #4: SUCCESS
Environment #12 Trial #4: SUCCESS
Environment #13 Trial #4: SUCCESS
Environment #14 Trial #4: SUCCESS
Environment #15 Trial #4: SUCCESS
Environment #16 Trial #4: SUCCESS
Environment #17 Trial #4: SUCCESS
Environment #18 Trial #4: SUCCESS
Environment #19 Trial #4: SUCCESS
Environment #20 Trial #4: SUCCESS
Environment #21 Trial #4: SUCCESS
Environment #22 Trial #4: SUCCESS
Environment #23 Trial #4: SUCCESS
Environment #24 Trial #4: SUCCESS
Environment #25 Trial #4: SUCCESS
Environment #26 Trial #4: SUCCESS
Environment #27 Trial #4: SUCCESS
Environment #28 Trial #4: FAIL
Environment #29 Trial #4: SUCCESS
Environment #30 Trial #4: SUCCESS
Environment #31 Trial #4: SUCCESS
Environment #32 Trial #4: FAIL
Environment #33 Trial #4: SUCCESS
Environment #34 Trial #4: SUCCESS
Environment #35 Trial #4: SUCCESS
Environment #36 Trial #4: SUCCESS
Environment #37 Trial #4: SUCCESS
Environment #38 Trial #4: SUCCESS
Environment #39 Trial #4: SUCCESS
Environment #40 Trial #4: SUCCESS
Environment #41 Trial #4: SUCCESS


***** Start Trial #4 *****



***** Start Trial #4 *****

Environment #0 Trial #4: SUCCESS
Environment #1 Trial #4: SUCCESS
Environment #2 Trial #4: SUCCESS
Environment #3 Trial #4: SUCCESS
Environment #4 Trial #4: SUCCESS
Environment #5 Trial #4: SUCCESS
Environment #6 Trial #4: FAIL
Environment #7 Trial #4: SUCCESS
Environment #8 Trial #4: SUCCESS
Environment #9 Trial #4: SUCCESS
Environment #10 Trial #4: SUCCESS
Environment #11 Trial #4: SUCCESS
Environment #12 Trial #4: SUCCESS
Environment #13 Trial #4: SUCCESS
Environment #14 Trial #4: SUCCESS
Environment #15 Trial #4: SUCCESS
Environment #16 Trial #4: SUCCESS
Environment #17 Trial #4: SUCCESS
Environment #18 Trial #4: SUCCESS
Environment #19 Trial #4: SUCCESS
Environment #20 Trial #4: SUCCESS
Environment #21 Trial #4: SUCCESS
Environment #22 Trial #4: SUCCESS
Environment #23 Trial #4: SUCCESS
Environment #24 Trial #4: SUCCESS
Environment #25 Trial #4: SUCCESS
Environment #26 Trial #4: SUCCESS
Environment #27 Trial #4: SUCCESS
Environment #28 Trial #4: SUCCESS
Environment #29 Trial #4: SUCCESS
Environment #30 Trial #4: SUCCESS
Environment #31 Trial #4: SUCCESS
Environment #32 Trial #4: SUCCESS
Environment #33 Trial #4: SUCCESS
Environment #34 Trial #4: SUCCESS
Environment #35 Trial #4: SUCCESS
Environment #36 Trial #4: SUCCESS
Environment #37 Trial #4: SUCCESS
Environment #38 Trial #4: SUCCESS
Environment #39 Trial #4: SUCCESS
Environment #40 Trial #4: SUCCESS
Environment #41 Trial #4: SUCCESS
Environment #42 Trial #4: FAIL
Environment #43 Trial #4: SUCCESS
Environment #44 Trial #4: SUCCESS
Environment #45 Trial #4: SUCCESS
Environment #46 Trial #4: SUCCESS
Environment #47 Trial #4: SUCCESS
Environment #48 Trial #4: SUCCESS
Environment #49 Trial #4: SUCCESS
Environment #50 Trial #4: SUCCESS
Environment #51 Trial #4: SUCCESS
Environment #52 Trial #4: SUCCESS
Environment #53 Trial #4: SUCCESS
Environment #54 Trial #4: SUCCESS
Environment #55 Trial #4: SUCCESS
Environment #56 Trial #4: SUCCESS
Environment #57 Trial #4: SUCCESS
Environment #58 Trial #4: SUCCESS
Environment #59 Trial #4: SUCCESS
Environment #60 Trial #4: SUCCESS
Environment #61 Trial #4: SUCCESS
Environment #62 Trial #4: SUCCESS
Environment #63 Trial #4: SUCCESS
Environment #64 Trial #4: SUCCESS
Environment #65 Trial #4: SUCCESS
Environment #66 Trial #4: FAIL
Environment #67 Trial #4: SUCCESS
Environment #68 Trial #4: SUCCESS
Environment #69 Trial #4: SUCCESS
Environment #70 Trial #4: SUCCESS
Environment #71 Trial #4: SUCCESS
Environment #72 Trial #4: SUCCESS
Environment #73 Trial #4: SUCCESS
Environment #74 Trial #4: SUCCESS
Environment #75 Trial #4: SUCCESS
Environment #76 Trial #4: SUCCESS
Environment #77 Trial #4: SUCCESS
Environment #78 Trial #4: SUCCESS
Environment #79 Trial #4: SUCCESS
Environment #80 Trial #4: SUCCESS
Environment #81 Trial #4: SUCCESS
Environment #82 Trial #4: SUCCESS
Environment #83 Trial #4: SUCCESS
Environment #84 Trial #4: SUCCESS
Environment #85 Trial #4: SUCCESS
Environment #86 Trial #4: SUCCESS
Environment #87 Trial #4: SUCCESS
Environment #88 Trial #4: SUCCESS
Environment #89 Trial #4: SUCCESS
Environment #90 Trial #4: SUCCESS
Environment #91 Trial #4: SUCCESS
Environment #92 Trial #4: SUCCESS
Environment #93 Trial #4: SUCCESS
Environment #94 Trial #4: SUCCESS
Environment #95 Trial #4: SUCCESS
Environment #96 Trial #4: SUCCESS
Environment #97 Trial #4: SUCCESS
Environment #98 Trial #4: SUCCESS
Environment #99 Trial #4: SUCCESS
Environment #100 Trial #4: SUCCESS
Environment #101 Trial #4: SUCCESS
Environment #102 Trial #4: SUCCESS
Environment #103 Trial #4: SUCCESS
Environment #104 Trial #4: SUCCESS
Environment #105 Trial #4: SUCCESS
Environment #106 Trial #4: SUCCESS
